"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"223972" 0 NA NA NA NA NA
"227232" 389.231523568069 -0.5474588282152 0.592873995262191 -0.923398281236967 0.355799687101253 0.900997103427278
"278267" 0 NA NA NA NA NA
"243485" 0.0876810556928477 0.481742978305072 3.5338115409304 0.136323902031922 0.891565229180988 NA
"284332" 0 NA NA NA NA NA
"237613" 0 NA NA NA NA NA
"268020" 0 NA NA NA NA NA
"240361" 0 NA NA NA NA NA
"186092" 0 NA NA NA NA NA
"238009" 4.28825245201832 -0.454486725568828 1.03081269454175 -0.440901366441621 0.659284404388834 NA
"239945" 0 NA NA NA NA NA
"233750" 0.50211065479945 -2.60350335696649 3.46389755453419 -0.75161095730402 0.452285051975498 NA
"268903" 23.104833917267 -0.768530744051405 2.43059053591638 -0.316190955529107 0.751857572311131 0.975561210901111
"269981" 13.3171115178559 -0.0533389324421923 1.67433854010085 -0.0318567190354345 0.974586314311952 0.998470224145423
"239906" 0.308451391102087 1.46747971854195 3.5062633450904 0.418530947082674 0.675558964845371 NA
"241860" 0.217191276586091 -0.23959102985122 3.5338115409304 -0.0677996059145077 0.945945157476884 NA
"222623" 0 NA NA NA NA NA
"241599" 0 NA NA NA NA NA
"279928" 0.757104652354392 -0.839388163815926 3.33891847069863 -0.251395226083581 0.801508558255181 NA
"279457" 390.210052717169 -0.430329144674727 0.68527381857872 -0.627966709084615 0.530025748746058 0.94940650286279
"273874" 0 NA NA NA NA NA
"228463" 46.7497651060677 0.221116500911885 0.586131493956111 0.377247261394287 0.705989860895385 0.972269687653523
"286448" 0 NA NA NA NA NA
"236679" 0 NA NA NA NA NA
"236601" 0 NA NA NA NA NA
"237094" 6.45460120812743 0.485966688246751 1.54481766279607 0.314578671613041 0.753081575163764 0.975561210901111
"269732" 0 NA NA NA NA NA
"284733" 0 NA NA NA NA NA
"233653" 0 NA NA NA NA NA
"250575" 0 NA NA NA NA NA
"278757" 0 NA NA NA NA NA
"230021" 34.990713639518 0.721262963121152 0.677600341839897 1.06443712994993 0.287130721013677 0.880626387282322
"235146" 0 NA NA NA NA NA
"225972" 0 NA NA NA NA NA
