"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"223972" 0 NA NA NA NA NA
"227232" 389.231523568069 -0.421956325874469 0.602292639593513 -0.700583567083349 0.483562936659144 0.914898065613349
"278267" 0 NA NA NA NA NA
"243485" 0.0876810556928477 -0.516411417289857 3.5338115409304 -0.146134396616378 0.883815293303489 NA
"284332" 0 NA NA NA NA NA
"237613" 0 NA NA NA NA NA
"268020" 0 NA NA NA NA NA
"240361" 0 NA NA NA NA NA
"186092" 0 NA NA NA NA NA
"238009" 4.28825245201832 -0.742643357985041 1.02458338940737 -0.724824709889737 0.468559574639799 0.911343833100835
"239945" 0 NA NA NA NA NA
"233750" 0.50211065479945 0.0911594576920438 3.506987703005 0.0259936633407448 0.979262392666376 NA
"268903" 23.104833917267 -3.92042699672905 1.38379312015807 -2.83310195694659 0.00460986799929283 0.124622074253993
"269981" 13.3171115178559 -3.23993600928503 1.39916379932117 -2.31562309635009 0.0205788566564722 0.264100772323104
"239906" 0.308451391102087 -1.49228162652134 3.50734362519277 -0.425473459686836 0.670491565063006 NA
"241860" 0.217191276586091 0.204927094953124 3.5338115409304 0.0579903858990652 0.953756286581479 NA
"222623" 0 NA NA NA NA NA
"241599" 0 NA NA NA NA NA
"279928" 0.757104652354392 -1.98273500724125 3.1490128493463 -0.62963700121225 0.528932109132978 NA
"279457" 390.210052717169 0.494682317223131 0.678434761526816 0.729152374371045 0.465908460120332 0.909798730729511
"273874" 0 NA NA NA NA NA
"228463" 46.7497651060677 -0.458055791335328 0.573172611255178 -0.799158547252007 0.42419848474354 0.891549271244272
"286448" 0 NA NA NA NA NA
"236679" 0 NA NA NA NA NA
"236601" 0 NA NA NA NA NA
"237094" 6.45460120812743 -0.276788833348224 1.49817772407077 -0.184750332955256 0.853424865672048 0.986578755854154
"269732" 0 NA NA NA NA NA
"284733" 0 NA NA NA NA NA
"233653" 0 NA NA NA NA NA
"250575" 0 NA NA NA NA NA
"278757" 0 NA NA NA NA NA
"230021" 34.990713639518 -1.11329120818524 0.624763515184859 -1.78194017596535 0.074758987977288 0.484705448988093
"235146" 0 NA NA NA NA NA
"225972" 0 NA NA NA NA NA
"225630" 0 NA NA NA NA NA
"237973" 0 NA NA NA NA NA
"278791" 0 NA NA NA NA NA
"229344" 0 NA NA NA NA NA
"240409" 0 NA NA NA NA NA
"248527" 0 NA NA NA NA NA
"198744" 0 NA NA NA NA NA
"268663" 0 NA NA NA NA NA
"284662" 0 NA NA NA NA NA
"229376" 0 NA NA NA NA NA
"228327" 0 NA NA NA NA NA
"223181" 0 NA NA NA NA NA
"229905" 0 NA NA NA NA NA
"237491" 0 NA NA NA NA NA
"285268" 0 NA NA NA NA NA
"230092" 0 NA NA NA NA NA
"177757" 0 NA NA NA NA NA
"228794" 282.362216362357 -0.0480139373289148 0.447435078596043 -0.107309282677551 0.914543620556138 0.992329471925596
"225880" 0 NA NA NA NA NA
"288531" 0.983210934133793 -1.42634802983382 2.97130619811079 -0.480040741254039 0.631198423633588 NA
"230368" 0 NA NA NA NA NA
"234711" 0 NA NA NA NA NA
"283040" 0.0876810556928477 -0.516411417289857 3.5338115409304 -0.146134396616378 0.883815293303489 NA
"272438" 26.6959410146314 -0.691081582490191 0.970114860415958 -0.712370885849408 0.476235139222666 0.913524362430051
"230699" 0 NA NA NA NA NA
"241180" 0 NA NA NA NA NA
"223764" 9.60288915347558 -0.580277405234825 1.2752614622438 -0.455026222006143 0.649090374197798 0.953537723345707
"187634" 48.122564592902 0.528084188432829 0.971549666767489 0.543548319243271 0.586752331748163 0.942383089465328
"188976" 1638.14733046119 0.217207633686487 0.417489290553781 0.520271150903944 0.602874600299435 0.945587215313394
"187961" 323.437568264182 0.42314907257803 0.567903314989535 0.745107593861866 0.456206678765153 0.906003552105505
"187583" 23.3625951395895 -1.08563173897702 0.9161886004735 -1.18494351317616 0.236039781506958 0.762913158241288
"187642" 50.556949454408 -2.28171289648985 0.985650104837759 -2.3149319269493 0.0206166577753825 0.264214518087629
"272512" 41.6681185256352 -2.70459713543585 0.973110985332178 -2.77933059661496 0.00544710567383206 0.135437733499035
"188290" 475.913540300416 -0.43672671173611 0.477150235568219 -0.915281349942182 0.360043947337408 0.858190011537944
"187608" 2932.24624971989 -3.40180003095885 1.06851247519995 -3.1836783471548 NA NA
"231702" 0 NA NA NA NA NA
"224969" 0 NA NA NA NA NA
"188157" 2855.80329046398 0.40254971666656 0.67217533874271 0.598876057279223 0.549255538699789 0.932262037739227
"242590" 0 NA NA NA NA NA
